dates,0.1BTC,1BTC,10BTC,100BTC,1000BTC,10000BTC,prices
2009-05-09,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2009-05-10,0.0,0.0,2950.0,50.0,0.0,0.0,0.0
2009-05-11,0.0,0.0,5100.0,0.0,0.0,0.0,0.0
2009-05-12,0.0,0.0,5550.0,0.0,0.0,0.0,0.0
2009-05-13,0.0,0.0,4400.0,50.0,0.0,0.0,0.0
2009-05-14,0.0,0.0,4750.0,0.0,0.0,0.0,0.0
2009-05-15,0.0,0.0,5100.0,0.0,0.0,0.0,0.0
2009-05-16,0.0,0.0,4700.0,0.0,0.0,0.0,0.0
2009-05-17,0.0,0.0,4950.0,0.0,0.0,0.0,0.0
2009-05-18,0.0,0.0,4850.0,0.0,0.0,0.0,0.0
2009-05-19,0.0,0.0,3550.0,0.0,0.0,0.0,0.0
2009-05-20,0.0,0.0,4500.0,50.0,0.0,0.0,0.0
2009-05-21,0.0,0.0,3350.0,0.0,0.0,0.0,0.0
2009-05-22,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2009-05-23,0.0,0.0,1400.0,0.0,0.0,0.0,0.0
2009-05-24,0.0,0.0,3800.0,0.0,0.0,0.0,0.0
2009-05-25,0.0,0.0,4500.0,0.0,0.0,0.0,0.0
2009-05-26,0.0,0.0,4350.0,0.0,0.0,0.0,0.0
2009-05-27,0.0,0.0,4100.0,0.0,0.0,0.0,0.0
2009-05-28,0.0,0.0,3950.0,0.0,0.0,0.0,0.0
2009-05-29,0.0,0.0,4300.0,0.0,0.0,0.0,0.0
2009-05-30,0.0,0.0,4450.0,0.0,0.0,0.0,0.0
2009-05-31,0.0,0.0,3600.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2009-06-02,0.0,0.0,4800.0,0.0,0.0,0.0,0.0
2009-06-03,0.0,0.0,3100.0,0.0,0.0,0.0,0.0
2009-06-04,0.0,0.0,3050.0,0.0,0.0,0.0,0.0
2009-06-05,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2009-06-06,0.0,0.0,1350.0,0.0,0.0,0.0,0.0
2009-06-07,0.0,0.0,650.0,0.0,0.0,0.0,0.0
2009-06-08,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-06-09,0.0,0.0,3300.0,0.0,0.0,0.0,0.0
2009-06-10,0.0,0.0,2950.0,0.0,0.0,0.0,0.0
2009-06-11,0.0,0.0,3350.0,0.0,0.0,0.0,0.0
2009-06-12,0.0,0.0,3150.0,0.0,0.0,0.0,0.0
2009-06-13,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-06-14,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-06-15,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2009-06-16,0.0,0.0,2950.0,0.0,0.0,0.0,0.0
2009-06-17,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2009-06-18,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2009-06-19,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-06-20,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-06-21,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-06-22,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-06-23,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-06-24,0.0,0.0,3100.0,0.0,0.0,0.0,0.0
2009-06-25,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
2009-06-26,0.0,0.0,3500.0,0.0,0.0,0.0,0.0
2009-06-27,0.0,0.0,3100.0,0.0,0.0,0.0,0.0
2009-06-28,0.0,0.0,1350.0,0.0,0.0,0.0,0.0
2009-06-29,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2009-06-30,0.0,0.0,2900.0,100.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-07-02,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-07-03,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2009-07-04,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-07-05,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2009-07-06,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-07-07,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2009-07-08,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-07-09,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2009-07-10,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2009-07-11,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-07-12,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2009-07-13,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-07-14,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-07-15,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2009-07-16,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-07-17,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2009-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-19,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-07-20,0.0,0.0,2550.14,0.0,0.0,0.0,0.0
2009-07-21,0.0,0.0,3200.0,0.0,0.0,0.0,0.0
2009-07-22,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-07-23,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-07-24,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2009-07-25,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2009-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-27,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-07-28,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
2009-07-29,0.0,0.0,150.0,0.0,0.0,0.0,0.0
2009-07-30,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-04,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-08-05,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2009-08-06,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-08-07,0.0,0.0,2400.0,0.0,0.0,0.0,0.0
2009-08-08,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2009-08-09,0.0,0.0,2950.0,0.0,0.0,0.0,0.0
2009-08-10,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-08-11,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2009-08-12,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2009-08-13,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-08-14,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-19,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-08-20,0.0,0.0,350.0,0.0,0.0,0.0,0.0
2009-08-21,0.0,0.0,250.0,0.0,0.0,0.0,0.0
2009-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-23,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2009-08-24,0.0,0.0,450.0,0.0,0.0,0.0,0.0
2009-08-25,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2009-08-26,0.0,0.0,2150.0,0.0,0.0,0.0,0.0
2009-08-27,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2009-08-28,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2009-08-29,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-08-30,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-08-31,0.0,0.0,2450.0,50.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,2400.0,0.0,0.0,0.0,0.0
2009-09-02,0.0,0.0,2400.0,0.0,0.0,0.0,0.0
2009-09-03,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2009-09-04,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2009-09-05,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-09-06,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-09-07,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2009-09-08,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2009-09-09,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-09-10,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-09-11,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2009-09-12,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2009-09-13,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-09-14,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-09-15,0.0,0.0,1550.0,0.0,0.0,0.0,0.0
2009-09-16,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2009-09-17,0.0,0.0,3100.12,0.0,0.0,0.0,0.0
2009-09-18,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2009-09-19,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-09-20,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-09-21,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2009-09-22,0.0,0.0,250.0,0.0,0.0,0.0,0.0
2009-09-23,0.0,0.0,1150.0,0.0,0.0,0.0,0.0
2009-09-24,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-09-25,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-09-26,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
2009-09-27,0.0,0.0,3050.0,0.0,0.0,0.0,0.0
2009-09-28,0.0,0.0,2850.0,0.0,0.0,0.0,0.0
2009-09-29,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2009-09-30,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-10-02,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-10-03,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2009-10-04,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2009-10-05,0.0,0.0,1050.0,0.0,0.0,0.0,0.0
2009-10-06,0.0,0.0,950.0,0.0,0.0,0.0,0.0
2009-10-07,0.0,0.0,1200.0,0.0,0.0,0.0,0.0
2009-10-08,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-10-09,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2009-10-10,0.0,0.0,1950.0,0.0,0.0,0.0,0.0
2009-10-11,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2009-10-12,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2009-10-13,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2009-10-14,0.0,0.0,1350.0,0.0,0.0,0.0,0.0
2009-10-15,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2009-10-16,0.0,0.0,1650.0,0.0,0.0,0.0,0.0
2009-10-17,0.0,0.0,1300.0,0.0,0.0,0.0,0.0
2009-10-18,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2009-10-19,0.0,0.0,3750.0,0.0,0.0,0.0,0.0
2009-10-20,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-10-21,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2009-10-22,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
2009-10-23,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-10-24,0.0,0.0,700.0,0.0,0.0,0.0,0.0
2009-10-25,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2009-10-26,0.0,0.0,1300.0,0.0,0.0,0.0,0.0
2009-10-27,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2009-10-28,0.0,0.0,1150.0,0.0,0.0,0.0,0.0
2009-10-29,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
2009-10-30,0.0,0.0,1400.0,0.0,0.0,0.0,0.0
2009-10-31,0.0,0.0,250.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,50.0,0.0,0.0,0.0,0.0
2009-11-02,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
2009-11-03,0.0,0.0,1100.0,0.0,0.0,0.0,0.0
2009-11-04,0.0,0.0,1450.0,0.0,0.0,0.0,0.0
2009-11-05,0.0,0.0,1150.0,0.0,0.0,0.0,0.0
2009-11-06,0.0,0.0,1350.0,0.0,0.0,0.0,0.0
2009-11-07,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2009-11-08,0.0,0.0,1600.0,0.0,0.0,0.0,0.0
2009-11-09,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2009-11-10,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2009-11-11,0.0,0.0,1400.0,0.0,0.0,0.0,0.0
2009-11-12,0.0,0.0,1700.0,0.0,0.0,0.0,0.0
2009-11-13,0.0,0.0,1700.0,0.0,0.0,0.0,0.0
2009-11-14,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2009-11-15,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-11-16,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2009-11-17,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2009-11-18,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2009-11-19,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
2009-11-20,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2009-11-21,0.0,0.0,1150.0,0.0,0.0,0.0,0.0
2009-11-22,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
2009-11-23,0.0,0.0,2250.0,0.0,0.0,0.0,0.0
2009-11-24,0.0,0.0,1700.0,0.0,0.0,0.0,0.0
2009-11-25,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2009-11-26,0.0,0.0,1650.0,0.0,0.0,0.0,0.0
2009-11-27,0.0,0.0,1450.0,0.0,0.0,0.0,0.0
2009-11-28,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2009-11-29,0.0,0.0,1950.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,1600.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,2200.2200000000003,0.0,0.0,0.0,0.0
2009-12-02,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-12-03,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2009-12-04,0.0,0.0,150.0,0.0,0.0,0.0,0.0
2009-12-05,0.0,0.0,400.0,895.65,0.0,0.0,0.0
2009-12-06,0.0,0.0,1650.0,0.0,0.0,0.0,0.0
2009-12-07,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2009-12-08,0.0,0.0,1700.0,0.0,0.0,0.0,0.0
2009-12-09,0.0,3.0,1700.0,0.0,0.0,0.0,0.0
2009-12-10,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2009-12-11,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2009-12-12,0.0,0.0,1950.0,0.0,0.0,0.0,0.0
2009-12-13,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2009-12-14,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
2009-12-15,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2009-12-16,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-12-17,0.0,1.0,3000.0,0.0,0.0,0.0,0.0
2009-12-18,0.0,0.0,3750.0,0.0,0.0,0.0,0.0
2009-12-19,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-12-20,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2009-12-21,0.0,0.0,3200.0,0.0,0.0,0.0,0.0
2009-12-22,0.0,0.0,2250.0,0.0,0.0,0.0,0.0
2009-12-23,0.0,0.0,2150.0,0.0,0.0,0.0,0.0
2009-12-24,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2009-12-25,0.0,0.0,2149.5,0.0,0.0,0.0,0.0
2009-12-26,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2009-12-27,0.0,0.0,3200.0,0.0,0.0,0.0,0.0
2009-12-28,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2009-12-29,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2009-12-30,0.0,0.0,2250.0,50.0,0.0,0.0,0.0
2009-12-31,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,2100.0,50.0,0.0,0.0,0.0
2010-01-02,0.0,0.0,1700.0,0.0,0.0,0.0,0.0
2010-01-03,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2010-01-04,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2010-01-05,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,2450.0,0.0,0.0,0.0,0.0
2010-01-07,0.0,0.0,2750.0,50.0,0.0,0.0,0.0
2010-01-08,0.0,0.0,2900.0,0.0,0.0,0.0,0.0
2010-01-09,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2010-01-10,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2010-01-12,0.0,0.0,1550.0,0.0,0.0,0.0,0.0
2010-01-13,0.0,7.0,2600.0,0.0,0.0,0.0,0.0
2010-01-14,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2010-01-15,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2010-01-16,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2010-01-17,0.0,0.0,1800.0,0.0,0.0,0.0,0.0
2010-01-18,0.0,0.0,1050.0,0.0,0.0,0.0,0.0
2010-01-19,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2010-01-20,0.0,0.0,650.0,0.0,0.0,0.0,0.0
2010-01-21,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-01-22,0.0,1.0,1750.0,0.0,0.0,0.0,0.0
2010-01-23,0.0,0.0,1650.0,0.0,0.0,0.0,0.0
2010-01-24,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2010-01-25,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2010-01-26,0.0,0.0,2150.0,0.0,0.0,0.0,0.0
2010-01-27,0.0,0.0,1950.0,0.0,0.0,0.0,0.0
2010-01-28,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-01-29,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2010-01-30,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2010-01-31,0.0,0.0,650.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,750.0,0.0,0.0,0.0,0.0
2010-02-02,0.0,0.0,1050.0,0.0,0.0,0.0,0.0
2010-02-03,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-02-04,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2010-02-05,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-02-06,0.0,0.0,2000.0,0.0,800.0,0.0,0.0
2010-02-07,0.0,0.0,1450.0,0.0,0.0,0.0,0.0
2010-02-08,0.0,0.0,2050.0,0.0,1400.0,0.0,0.0
2010-02-09,0.0,0.0,2249.56,0.0,0.0,0.0,0.0
2010-02-10,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2010-02-11,0.0,0.0,1900.0,0.0,0.0,0.0,0.0
2010-02-12,0.0,0.0,1950.0,0.0,0.0,0.0,0.0
2010-02-13,0.0,0.0,1600.0,0.0,0.0,0.0,0.0
2010-02-14,0.0,0.0,2350.0,0.0,0.0,0.0,0.0
2010-02-15,0.0,2.0,2234.63,0.0,0.0,0.0,0.0
2010-02-16,0.0,0.0,1899.0,0.0,0.0,0.0,0.0
2010-02-17,0.0,0.0,2550.0,0.0,3233.17,0.0,0.0
2010-02-18,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2010-02-19,0.0,0.0,2150.0,0.0,0.0,0.0,0.0
2010-02-20,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-02-21,0.0,0.0,2950.0,0.0,0.0,0.0,0.0
2010-02-22,0.0,1.0,3699.0,0.0,0.0,0.0,0.0
2010-02-23,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2010-02-24,0.0,0.0,2800.0,0.0,0.0,0.0,0.0
2010-02-25,0.0,0.0,2550.0,0.0,0.0,0.0,0.0
2010-02-26,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-02-27,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-02-28,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,2300.0,0.0,0.0,0.0,0.0
2010-03-02,0.0,0.0,2250.0,0.0,0.0,0.0,0.0
2010-03-03,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2010-03-04,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2010-03-05,0.0,0.0,2750.0,0.0,0.0,0.0,0.0
2010-03-06,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-03-07,0.0,0.0,2050.0,0.0,0.0,0.0,0.0
2010-03-08,0.01,0.0,1850.0,0.0,0.0,0.0,0.0
2010-03-09,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-03-10,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2010-03-11,0.0,0.0,1400.0,0.0,0.0,0.0,0.0
2010-03-12,0.0,0.0,1850.0,0.0,0.0,0.0,0.0
2010-03-13,0.0,0.0,1650.0,0.0,0.0,0.0,0.0
2010-03-14,0.0,0.0,1550.0,0.0,0.0,0.0,0.0
2010-03-15,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
2010-03-16,0.0,0.0,1450.0,100.0,0.0,0.0,0.0
2010-03-17,0.0,0.0,1750.0,0.0,0.0,0.0,0.0
2010-03-18,0.0,0.0,1750.0,0.0,140.0,0.0,0.0
2010-03-19,0.0,0.0,2600.0,0.0,0.0,0.0,0.0
2010-03-20,0.0,0.0,2199.0,0.0,0.0,0.0,0.0
2010-03-21,0.0,1.0,2250.0,0.0,0.0,0.0,0.0
2010-03-22,0.0,0.0,2500.0,0.0,550.0,0.0,0.0
2010-03-23,0.0,0.0,2650.0,303.42,0.0,0.0,0.0
2010-03-24,0.0,0.0,2300.0,640.0,60.0,0.0,0.0
2010-03-25,0.0,0.0,2900.0,0.0,150.0,0.0,0.0
2010-03-26,0.0,0.0,2550.0,100.0,100.0,0.0,0.0
2010-03-27,0.0,0.0,2200.0,0.0,0.0,0.0,0.0
2010-03-28,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-03-29,0.0,0.0,3050.0,100.0,650.0,0.0,0.0
2010-03-30,0.0,0.0,2750.0,0.0,150.0,0.0,0.0
2010-03-31,0.0,0.0,2700.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,2400.0,0.0,0.0,0.0,0.0
2010-04-02,0.0,0.0,2350.0,200.0,0.0,0.0,0.0
2010-04-03,0.0,0.0,2650.0,0.0,0.0,0.0,0.0
2010-04-04,0.0,0.0,2050.0,0.0,1850.0,0.0,0.0
2010-04-05,0.0,0.0,2200.0,0.0,400.0,2030.0,0.0
2010-04-06,0.0,0.0,2163.37,0.0,250.0,2000.0,0.0
2010-04-07,0.0,0.0,2900.0,353.1,50.0,4000.0,0.0
2010-04-08,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
2010-04-09,0.0,1.11,1350.0,501.0,0.0,0.0,0.0
2010-04-10,0.05,0.22,1900.0,0.0,0.0,0.0,0.0
2010-04-11,0.0,0.0,1200.0,0.0,0.0,4620.0,0.0
2010-04-12,0.0,0.0,1549.94,800.0,400.0,0.0,0.0
2010-04-13,0.0,0.0,1500.0,650.0,50.0,0.0,0.0
2010-04-14,0.0,0.0,2350.0,200.0,200.0,0.0,0.0
2010-04-15,0.0,0.2,2360.0,50.0,450.0,0.0,0.0
2010-04-16,0.0,0.0,2450.0,454.35,0.0,0.0,0.0
2010-04-17,0.0,0.0,2500.0,0.0,0.0,0.0,0.0
2010-04-18,0.0,0.0,3450.0,0.0,0.0,0.0,0.0
2010-04-19,0.0,0.0,2450.0,50.0,0.0,0.0,0.0
2010-04-20,0.0,5.0,2100.0,0.0,800.0,0.0,0.0
2010-04-21,0.0,0.0,2049.0,0.0,150.0,0.0,0.0
2010-04-22,0.0,0.0,2100.0,0.0,0.0,0.0,0.0
2010-04-23,0.0,0.0,1700.0,0.0,150.0,0.0,0.0
2010-04-24,0.0,5.0,2200.0,0.0,7641.06,0.0,0.0
2010-04-25,0.0,0.0,2110.0,0.0,0.0,0.0,0.0
2010-04-26,0.0,0.0,1650.0,0.0,50.0,0.0,0.0
2010-04-27,0.0,0.36000000000000004,2311.66,600.0,50.0,0.0,0.0
2010-04-28,0.0,0.0,2400.0,0.0,0.0,0.0,0.0
2010-04-29,0.0,0.0,1900.0,150.0,50.0,0.0,0.0
2010-04-30,0.0,0.0,1800.0,0.0,200.0,6000.0,0.0
2010-05-01,0.0,0.0,3200.0,50.0,0.0,0.0,0.0
2010-05-02,0.0,0.0,1997.0,0.0,0.0,0.0,0.0
2010-05-03,0.0,0.0,1750.0,0.0,450.0,0.0,0.0
2010-05-04,0.0,0.0,1050.0,0.0,200.0,0.0,0.0
2010-05-05,0.0,0.0,1050.0,0.0,0.0,0.0,0.0
2010-05-06,0.0,0.0,1100.0,0.0,0.0,3500.0,0.0
2010-05-07,0.0,0.0,850.0,0.0,0.0,0.0,0.0
2010-05-08,0.0,0.0,750.0,0.0,0.0,0.0,0.0
2010-05-09,0.0,0.0,600.0,150.0,0.0,0.0,0.0
2010-05-10,0.0,0.0,750.0,0.0,700.0,0.0,0.0
2010-05-11,0.0,0.0,800.0,0.0,0.0,0.0,0.0
2010-05-12,0.0,0.0,1000.0,0.0,0.0,6000.0,0.0
2010-05-13,0.0,0.0,950.0,0.0,0.0,0.0,0.0
2010-05-14,0.0,0.0,600.0,0.0,300.0,0.0,0.0
2010-05-15,0.0,0.0,500.0,0.0,0.0,0.0,0.0
2010-05-16,0.0,0.0,950.0,0.0,0.0,0.0,0.0
2010-05-17,0.0,0.0,800.0,0.0,0.0,0.0,0.0
2010-05-18,0.0,0.0,850.0,0.0,600.0,0.0,0.0
2010-05-19,0.0,0.0,730.0,0.0,0.0,0.0,0.0
2010-05-20,0.0,0.0,1450.0,0.0,0.0,0.0,0.0
2010-05-21,0.0,0.0,1200.0,0.0,10.0,0.0,0.0
2010-05-22,0.0,0.0,1150.99,100.0,0.0,0.0,0.0
2010-05-23,0.0,0.0,850.0,0.0,0.0,0.0,0.0
2010-05-24,0.0,5.0,1250.0,0.0,300.0,0.0,0.0
2010-05-25,0.0,0.0,1250.0,0.0,0.0,0.0,0.0
2010-05-26,0.0,0.0,1800.0,0.0,100.0,0.0,0.0
2010-05-27,0.0,0.0,1600.0,0.0,0.0,0.0,0.0
2010-05-28,0.0,0.0,1300.0,0.0,0.0,0.0,0.0
2010-05-29,0.0,0.0,1050.0,0.0,0.0,0.0,0.0
2010-05-30,0.0,0.0,800.0,0.0,0.0,0.0,0.0
2010-05-31,0.0,0.0,500.0,0.0,0.0,0.0,0.0
